2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=19, Description='六堵SS_LINE11ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=20, Description='六堵SS_LINE12ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=21, Description='六堵SS_LINE1GABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=22, Description='六堵SS_八堵六堵線621ABS', BranchID=101, VLevel=69.0, EquipName='LINE', EquipNum=621, StationName='CKSS', Element='ABS_003', DataFrom='Status', DataType='PRTU', LineName='八堵六堵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=23, Description='六堵SS_八堵六堵線622ABS', BranchID=101, VLevel=69.0, EquipName='LINE', EquipNum=622, StationName='CKSS', Element='ABS_003', DataFrom='Status', DataType='PRTU', LineName='八堵六堵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=24, Description='六堵SS_八堵六堵線622EABS', BranchID=101, VLevel=69.0, EquipName='LINE', EquipNum=622, StationName='CKSS', Element='ES_ABS_003', DataFrom='Status', DataType='PRTU', LineName='八堵六堵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=25, Description='六堵SS_南港六堵線611ABS', BranchID=101, VLevel=69.0, EquipName='LINE', EquipNum=611, StationName='CKSS', Element='ABS_003', DataFrom='Status', DataType='PRTU', LineName='南港六堵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=26, Description='六堵SS_南港六堵線612ABS', BranchID=101, VLevel=69.0, EquipName='LINE', EquipNum=612, StationName='CKSS', Element='ABS_003', DataFrom='Status', DataType='PRTU', LineName='南港六堵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=27, Description='六堵SS_南港六堵線612EABS', BranchID=101, VLevel=69.0, EquipName='LINE', EquipNum=612, StationName='CKSS', Element='ES_ABS_003', DataFrom='Status', DataType='PRTU', LineName='南港六堵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=28, Description='六堵SS_LINE41ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
